clip_dir,label,video_id,center_frame,clip_start,clip_end,clip_length,punch_type,split
data/processed/clips/hook_V1_002383_v000038,1,V1.mp4,2383,2375,2386,12,hook,train
data/processed/clips/straight_V1_002441_v000039,0,V1.mp4,2441,2433,2444,12,straight,train
data/processed/clips/hook_V1_002485_v000040,1,V1.mp4,2485,2477,2488,12,hook,train
data/processed/clips/none_V1_002746_v000041,3,V1.mp4,2746,2738,2749,12,none,train
data/processed/clips/none_V1_002756_v000042,3,V1.mp4,2756,2748,2759,12,none,train
data/processed/clips/none_V1_002795_v000043,3,V1.mp4,2795,2787,2798,12,none,train
data/processed/clips/none_V1_002796_v000044,3,V1.mp4,2796,2788,2799,12,none,train
data/processed/clips/none_V1_002798_v000045,3,V1.mp4,2798,2790,2801,12,none,train
data/processed/clips/none_V1_002800_v000046,3,V1.mp4,2800,2792,2803,12,none,train
data/processed/clips/none_V1_002801_v000047,3,V1.mp4,2801,2793,2804,12,none,train
data/processed/clips/none_V1_002803_v000048,3,V1.mp4,2803,2795,2806,12,none,train
data/processed/clips/none_V1_002804_v000049,3,V1.mp4,2804,2796,2807,12,none,train
data/processed/clips/none_V1_002806_v000050,3,V1.mp4,2806,2798,2809,12,none,train
data/processed/clips/none_V1_002808_v000051,3,V1.mp4,2808,2800,2811,12,none,train
data/processed/clips/none_V1_002809_v000052,3,V1.mp4,2809,2801,2812,12,none,train
data/processed/clips/none_V1_002812_v000053,3,V1.mp4,2812,2804,2815,12,none,train
data/processed/clips/none_V1_002813_v000054,3,V1.mp4,2813,2805,2816,12,none,train
data/processed/clips/none_V1_002814_v000055,3,V1.mp4,2814,2806,2817,12,none,train
data/processed/clips/none_V1_002815_v000056,3,V1.mp4,2815,2807,2818,12,none,train
data/processed/clips/none_V1_002817_v000057,3,V1.mp4,2817,2809,2820,12,none,train
data/processed/clips/none_V1_002819_v000058,3,V1.mp4,2819,2811,2822,12,none,train
data/processed/clips/none_V1_002823_v000059,3,V1.mp4,2823,2815,2826,12,none,train
data/processed/clips/none_V1_002827_v000060,3,V1.mp4,2827,2819,2830,12,none,train
data/processed/clips/none_V1_002830_v000061,3,V1.mp4,2830,2822,2833,12,none,train
data/processed/clips/none_V1_002840_v000062,3,V1.mp4,2840,2832,2843,12,none,train
data/processed/clips/none_V1_002841_v000063,3,V1.mp4,2841,2833,2844,12,none,train
data/processed/clips/none_V1_002845_v000064,3,V1.mp4,2845,2837,2848,12,none,train
data/processed/clips/none_V1_002850_v000065,3,V1.mp4,2850,2842,2853,12,none,train
data/processed/clips/none_V1_002851_v000066,3,V1.mp4,2851,2843,2854,12,none,train
data/processed/clips/none_V1_002852_v000067,3,V1.mp4,2852,2844,2855,12,none,train
data/processed/clips/none_V1_002853_v000068,3,V1.mp4,2853,2845,2856,12,none,train
data/processed/clips/none_V1_002854_v000069,3,V1.mp4,2854,2846,2857,12,none,train
data/processed/clips/none_V1_002858_v000070,3,V1.mp4,2858,2850,2861,12,none,train
data/processed/clips/none_V1_002860_v000071,3,V1.mp4,2860,2852,2863,12,none,train
data/processed/clips/none_V1_002864_v000072,3,V1.mp4,2864,2856,2867,12,none,train
data/processed/clips/none_V1_002867_v000073,3,V1.mp4,2867,2859,2870,12,none,train
data/processed/clips/none_V1_002869_v000074,3,V1.mp4,2869,2861,2872,12,none,train
data/processed/clips/none_V1_002871_v000075,3,V1.mp4,2871,2863,2874,12,none,train
data/processed/clips/none_V1_002877_v000076,3,V1.mp4,2877,2869,2880,12,none,train
data/processed/clips/none_V1_002880_v000077,3,V1.mp4,2880,2872,2883,12,none,train
data/processed/clips/none_V1_002881_v000078,3,V1.mp4,2881,2873,2884,12,none,train
data/processed/clips/none_V1_002885_v000079,3,V1.mp4,2885,2877,2888,12,none,train
data/processed/clips/none_V1_002892_v000080,3,V1.mp4,2892,2884,2895,12,none,train
data/processed/clips/none_V1_002893_v000081,3,V1.mp4,2893,2885,2896,12,none,train
data/processed/clips/none_V1_002895_v000082,3,V1.mp4,2895,2887,2898,12,none,train
data/processed/clips/none_V1_002896_v000083,3,V1.mp4,2896,2888,2899,12,none,train
data/processed/clips/none_V1_002897_v000084,3,V1.mp4,2897,2889,2900,12,none,train
data/processed/clips/none_V1_002899_v000085,3,V1.mp4,2899,2891,2902,12,none,train
data/processed/clips/hook_V1_003522_v000086,1,V1.mp4,3522,3514,3525,12,hook,train
data/processed/clips/straight_V1_003534_v000087,0,V1.mp4,3534,3526,3537,12,straight,train
data/processed/clips/straight_V1_003542_v000088,0,V1.mp4,3542,3534,3545,12,straight,train
data/processed/clips/straight_V1_003576_v000089,0,V1.mp4,3576,3568,3579,12,straight,train
data/processed/clips/hook_V1_003611_v000090,1,V1.mp4,3611,3603,3614,12,hook,train
data/processed/clips/straight_V1_003631_v000091,0,V1.mp4,3631,3623,3634,12,straight,train
data/processed/clips/hook_V1_003642_v000092,1,V1.mp4,3642,3634,3645,12,hook,train
data/processed/clips/hook_V1_003703_v000093,1,V1.mp4,3703,3695,3706,12,hook,train
data/processed/clips/hook_V1_003735_v000094,1,V1.mp4,3735,3727,3738,12,hook,train
data/processed/clips/straight_V1_003761_v000095,0,V1.mp4,3761,3753,3764,12,straight,train
data/processed/clips/hook_V1_003830_v000096,1,V1.mp4,3830,3822,3833,12,hook,train
data/processed/clips/hook_V1_003957_v000097,1,V1.mp4,3957,3949,3960,12,hook,train
data/processed/clips/straight_V1_003969_v000098,0,V1.mp4,3969,3961,3972,12,straight,train
data/processed/clips/hook_V1_004021_v000099,1,V1.mp4,4021,4013,4024,12,hook,train
data/processed/clips/hook_V1_004050_v000100,1,V1.mp4,4050,4042,4053,12,hook,train
data/processed/clips/hook_V1_004083_v000101,1,V1.mp4,4083,4075,4086,12,hook,train
data/processed/clips/hook_V1_004115_v000102,1,V1.mp4,4115,4107,4118,12,hook,train
data/processed/clips/straight_V1_004127_v000103,0,V1.mp4,4127,4119,4130,12,straight,train
data/processed/clips/hook_V1_004179_v000104,1,V1.mp4,4179,4171,4182,12,hook,train
data/processed/clips/hook_V1_004243_v000105,1,V1.mp4,4243,4235,4246,12,hook,train
data/processed/clips/straight_V1_004266_v000106,0,V1.mp4,4266,4258,4269,12,straight,train
data/processed/clips/straight_V1_004506_v000107,0,V1.mp4,4506,4498,4509,12,straight,train
data/processed/clips/hook_V1_004513_v000108,1,V1.mp4,4513,4505,4516,12,hook,train
data/processed/clips/hook_V1_004582_v000109,1,V1.mp4,4582,4574,4585,12,hook,train
data/processed/clips/hook_V1_004617_v000110,1,V1.mp4,4617,4609,4620,12,hook,train
data/processed/clips/straight_V1_004633_v000111,0,V1.mp4,4633,4625,4636,12,straight,train
data/processed/clips/straight_V1_004769_v000112,0,V1.mp4,4769,4761,4772,12,straight,train
data/processed/clips/straight_V1_004786_v000113,0,V1.mp4,4786,4778,4789,12,straight,train
data/processed/clips/hook_V1_004790_v000114,1,V1.mp4,4790,4782,4793,12,hook,train
data/processed/clips/straight_V1_004804_v000115,0,V1.mp4,4804,4796,4807,12,straight,train
data/processed/clips/hook_V1_004824_v000116,1,V1.mp4,4824,4816,4827,12,hook,train
data/processed/clips/hook_V1_004861_v000117,1,V1.mp4,4861,4853,4864,12,hook,train
data/processed/clips/hook_V1_004896_v000118,1,V1.mp4,4896,4888,4899,12,hook,train
data/processed/clips/hook_V1_006056_v000119,1,V1.mp4,6056,6048,6059,12,hook,train
data/processed/clips/hook_V1_006085_v000120,1,V1.mp4,6085,6077,6088,12,hook,train
data/processed/clips/hook_V1_006113_v000121,1,V1.mp4,6113,6105,6116,12,hook,train
data/processed/clips/hook_V1_006243_v000122,1,V1.mp4,6243,6235,6246,12,hook,train
data/processed/clips/straight_V1_006255_v000123,0,V1.mp4,6255,6247,6258,12,straight,train
data/processed/clips/hook_V1_006298_v000124,1,V1.mp4,6298,6290,6301,12,hook,train
data/processed/clips/hook_V1_006325_v000125,1,V1.mp4,6325,6317,6328,12,hook,train
data/processed/clips/straight_V1_006372_v000126,0,V1.mp4,6372,6364,6375,12,straight,train
data/processed/clips/straight_V1_006459_v000127,0,V1.mp4,6459,6451,6462,12,straight,train
data/processed/clips/straight_V1_006510_v000128,0,V1.mp4,6510,6502,6513,12,straight,train
data/processed/clips/hook_V1_006548_v000129,1,V1.mp4,6548,6540,6551,12,hook,train
data/processed/clips/straight_V1_006560_v000130,0,V1.mp4,6560,6552,6563,12,straight,train
data/processed/clips/hook_V1_006577_v000131,1,V1.mp4,6577,6569,6580,12,hook,train
data/processed/clips/straight_V1_006616_v000132,0,V1.mp4,6616,6608,6619,12,straight,train
data/processed/clips/straight_V1_006656_v000133,0,V1.mp4,6656,6648,6659,12,straight,train
data/processed/clips/straight_V1_006741_v000134,0,V1.mp4,6741,6733,6744,12,straight,train
data/processed/clips/hook_V1_006830_v000135,1,V1.mp4,6830,6822,6833,12,hook,train
data/processed/clips/straight_V1_006848_v000136,0,V1.mp4,6848,6840,6851,12,straight,train
data/processed/clips/hook_V1_006915_v000137,1,V1.mp4,6915,6907,6918,12,hook,train
data/processed/clips/hook_V1_006944_v000138,1,V1.mp4,6944,6936,6947,12,hook,train
data/processed/clips/straight_V1_007076_v000139,0,V1.mp4,7076,7068,7079,12,straight,train
data/processed/clips/straight_V1_007148_v000140,0,V1.mp4,7148,7140,7151,12,straight,train
data/processed/clips/straight_V1_007211_v000141,0,V1.mp4,7211,7203,7214,12,straight,train
data/processed/clips/straight_V1_007254_v000142,0,V1.mp4,7254,7246,7257,12,straight,train
data/processed/clips/straight_V1_007284_v000143,0,V1.mp4,7284,7276,7287,12,straight,train
data/processed/clips/straight_V1_007323_v000144,0,V1.mp4,7323,7315,7326,12,straight,train
data/processed/clips/hook_V1_007518_v000145,1,V1.mp4,7518,7510,7521,12,hook,train
data/processed/clips/none_V1_007530_v000146,3,V1.mp4,7530,7522,7533,12,none,train
data/processed/clips/none_V1_007531_v000147,3,V1.mp4,7531,7523,7534,12,none,train
data/processed/clips/none_V1_007532_v000148,3,V1.mp4,7532,7524,7535,12,none,train
data/processed/clips/none_V1_007533_v000149,3,V1.mp4,7533,7525,7536,12,none,train
data/processed/clips/none_V1_007537_v000150,3,V1.mp4,7537,7529,7540,12,none,train
data/processed/clips/none_V1_007538_v000151,3,V1.mp4,7538,7530,7541,12,none,train
data/processed/clips/none_V1_007539_v000152,3,V1.mp4,7539,7531,7542,12,none,train
data/processed/clips/none_V1_007540_v000153,3,V1.mp4,7540,7532,7543,12,none,train
data/processed/clips/none_V1_007545_v000154,3,V1.mp4,7545,7537,7548,12,none,train
data/processed/clips/none_V1_007689_v000155,3,V1.mp4,7689,7681,7692,12,none,train
data/processed/clips/none_V1_007690_v000156,3,V1.mp4,7690,7682,7693,12,none,train
data/processed/clips/none_V1_007693_v000157,3,V1.mp4,7693,7685,7696,12,none,train
data/processed/clips/none_V1_007695_v000158,3,V1.mp4,7695,7687,7698,12,none,train
data/processed/clips/none_V1_007696_v000159,3,V1.mp4,7696,7688,7699,12,none,train
data/processed/clips/none_V1_007697_v000160,3,V1.mp4,7697,7689,7700,12,none,train
data/processed/clips/none_V1_007700_v000161,3,V1.mp4,7700,7692,7703,12,none,train
data/processed/clips/none_V1_007701_v000162,3,V1.mp4,7701,7693,7704,12,none,train
data/processed/clips/none_V1_007703_v000163,3,V1.mp4,7703,7695,7706,12,none,train
data/processed/clips/none_V1_007738_v000164,3,V1.mp4,7738,7730,7741,12,none,train
data/processed/clips/none_V1_007740_v000165,3,V1.mp4,7740,7732,7743,12,none,train
data/processed/clips/none_V1_007740_v000166,3,V1.mp4,7740,7732,7743,12,none,train
data/processed/clips/none_V1_007743_v000167,3,V1.mp4,7743,7735,7746,12,none,train
data/processed/clips/none_V1_007746_v000168,3,V1.mp4,7746,7738,7749,12,none,train
data/processed/clips/none_V1_007748_v000169,3,V1.mp4,7748,7740,7751,12,none,train
data/processed/clips/none_V1_007748_v000170,3,V1.mp4,7748,7740,7751,12,none,train
data/processed/clips/none_V1_007779_v000171,3,V1.mp4,7779,7771,7782,12,none,train
data/processed/clips/none_V1_007781_v000172,3,V1.mp4,7781,7773,7784,12,none,train
data/processed/clips/none_V1_007784_v000173,3,V1.mp4,7784,7776,7787,12,none,train
data/processed/clips/none_V1_007785_v000174,3,V1.mp4,7785,7777,7788,12,none,train
data/processed/clips/none_V1_008116_v000175,3,V1.mp4,8116,8108,8119,12,none,train
data/processed/clips/none_V1_008120_v000176,3,V1.mp4,8120,8112,8123,12,none,train
data/processed/clips/none_V1_008121_v000177,3,V1.mp4,8121,8113,8124,12,none,train
data/processed/clips/straight_V1_009030_v000178,0,V1.mp4,9030,9022,9033,12,straight,train
data/processed/clips/straight_V1_009503_v000179,0,V1.mp4,9503,9495,9506,12,straight,train
data/processed/clips/straight_V1_009541_v000180,0,V1.mp4,9541,9533,9544,12,straight,train
data/processed/clips/straight_V1_009767_v000181,0,V1.mp4,9767,9759,9770,12,straight,train
data/processed/clips/straight_V1_009794_v000182,0,V1.mp4,9794,9786,9797,12,straight,train
data/processed/clips/straight_V1_009964_v000183,0,V1.mp4,9964,9956,9967,12,straight,train
data/processed/clips/straight_V1_010071_v000184,0,V1.mp4,10071,10063,10074,12,straight,train
data/processed/clips/straight_V1_010083_v000185,0,V1.mp4,10083,10075,10086,12,straight,train
data/processed/clips/straight_V1_010109_v000186,0,V1.mp4,10109,10101,10112,12,straight,train
data/processed/clips/straight_V1_010149_v000187,0,V1.mp4,10149,10141,10152,12,straight,train
data/processed/clips/straight_V1_010303_v000188,0,V1.mp4,10303,10295,10306,12,straight,train
data/processed/clips/none_V1_010474_v000189,3,V1.mp4,10474,10466,10477,12,none,train
data/processed/clips/none_V1_010481_v000190,3,V1.mp4,10481,10473,10484,12,none,train
data/processed/clips/none_V1_010484_v000191,3,V1.mp4,10484,10476,10487,12,none,train
data/processed/clips/none_V1_010486_v000192,3,V1.mp4,10486,10478,10489,12,none,train
data/processed/clips/none_V1_010487_v000193,3,V1.mp4,10487,10479,10490,12,none,train
data/processed/clips/none_V1_010682_v000194,3,V1.mp4,10682,10674,10685,12,none,train
data/processed/clips/none_V1_010683_v000195,3,V1.mp4,10683,10675,10686,12,none,train
data/processed/clips/none_V1_010689_v000196,3,V1.mp4,10689,10681,10692,12,none,train
data/processed/clips/none_V1_010691_v000197,3,V1.mp4,10691,10683,10694,12,none,train
data/processed/clips/none_V1_010692_v000198,3,V1.mp4,10692,10684,10695,12,none,train
data/processed/clips/none_V1_010694_v000199,3,V1.mp4,10694,10686,10697,12,none,train
data/processed/clips/none_V1_010695_v000200,3,V1.mp4,10695,10687,10698,12,none,train
data/processed/clips/none_V1_010696_v000201,3,V1.mp4,10696,10688,10699,12,none,train
data/processed/clips/none_V1_010697_v000202,3,V1.mp4,10697,10689,10700,12,none,train
data/processed/clips/hook_V1_010718_v000203,1,V1.mp4,10718,10710,10721,12,hook,train
data/processed/clips/straight_V1_010863_v000204,0,V1.mp4,10863,10855,10866,12,straight,train
data/processed/clips/hook_V1_010913_v000205,1,V1.mp4,10913,10905,10916,12,hook,train
data/processed/clips/straight_V1_011009_v000206,0,V1.mp4,11009,11001,11012,12,straight,train
data/processed/clips/hook_V1_011280_v000207,1,V1.mp4,11280,11272,11283,12,hook,train
data/processed/clips/hook_V1_011281_v000208,1,V1.mp4,11281,11273,11284,12,hook,train
data/processed/clips/hook_V1_011282_v000209,1,V1.mp4,11282,11274,11285,12,hook,train
data/processed/clips/hook_V1_011290_v000210,1,V1.mp4,11290,11282,11293,12,hook,train
data/processed/clips/hook_V1_011292_v000211,1,V1.mp4,11292,11284,11295,12,hook,train
data/processed/clips/hook_V1_011294_v000212,1,V1.mp4,11294,11286,11297,12,hook,train
data/processed/clips/hook_V1_011296_v000213,1,V1.mp4,11296,11288,11299,12,hook,train
data/processed/clips/hook_V1_011297_v000214,1,V1.mp4,11297,11289,11300,12,hook,train
data/processed/clips/hook_V1_011301_v000215,1,V1.mp4,11301,11293,11304,12,hook,train
data/processed/clips/none_V1_011307_v000216,3,V1.mp4,11307,11299,11310,12,none,train
data/processed/clips/none_V1_011308_v000217,3,V1.mp4,11308,11300,11311,12,none,train
data/processed/clips/none_V1_011314_v000218,3,V1.mp4,11314,11306,11317,12,none,train
data/processed/clips/none_V1_011316_v000219,3,V1.mp4,11316,11308,11319,12,none,train
data/processed/clips/none_V1_011319_v000220,3,V1.mp4,11319,11311,11322,12,none,train
data/processed/clips/none_V1_011320_v000221,3,V1.mp4,11320,11312,11323,12,none,train
data/processed/clips/none_V1_011323_v000222,3,V1.mp4,11323,11315,11326,12,none,train
data/processed/clips/none_V1_011328_v000223,3,V1.mp4,11328,11320,11331,12,none,train
data/processed/clips/none_V1_011330_v000224,3,V1.mp4,11330,11322,11333,12,none,train
data/processed/clips/hook_V10_000042_v000225,1,V10.mp4,42,34,45,12,hook,train
data/processed/clips/straight_V10_000742_v000226,0,V10.mp4,742,734,745,12,straight,train
data/processed/clips/uppercut_V10_000781_v000227,2,V10.mp4,781,773,784,12,uppercut,train
data/processed/clips/uppercut_V10_000883_v000228,2,V10.mp4,883,875,886,12,uppercut,train
data/processed/clips/straight_V10_000966_v000229,0,V10.mp4,966,958,969,12,straight,train
data/processed/clips/uppercut_V10_000998_v000230,2,V10.mp4,998,990,1001,12,uppercut,train
data/processed/clips/hook_V10_001070_v000231,1,V10.mp4,1070,1062,1073,12,hook,train
data/processed/clips/uppercut_V10_001089_v000232,2,V10.mp4,1089,1081,1092,12,uppercut,train
data/processed/clips/straight_V10_001143_v000233,0,V10.mp4,1143,1135,1146,12,straight,train
data/processed/clips/uppercut_V10_001184_v000234,2,V10.mp4,1184,1176,1187,12,uppercut,train
data/processed/clips/straight_V10_001338_v000235,0,V10.mp4,1338,1330,1341,12,straight,train
data/processed/clips/uppercut_V10_001378_v000236,2,V10.mp4,1378,1370,1381,12,uppercut,train
data/processed/clips/uppercut_V10_001408_v000237,2,V10.mp4,1408,1400,1411,12,uppercut,train
data/processed/clips/straight_V10_001460_v000238,0,V10.mp4,1460,1452,1463,12,straight,train
data/processed/clips/uppercut_V10_001504_v000239,2,V10.mp4,1504,1496,1507,12,uppercut,train
data/processed/clips/straight_V10_001568_v000240,0,V10.mp4,1568,1560,1571,12,straight,train
data/processed/clips/straight_V10_001579_v000241,0,V10.mp4,1579,1571,1582,12,straight,train
data/processed/clips/uppercut_V10_001623_v000242,2,V10.mp4,1623,1615,1626,12,uppercut,train
data/processed/clips/uppercut_V10_001691_v000243,2,V10.mp4,1691,1683,1694,12,uppercut,train
data/processed/clips/uppercut_V10_001716_v000244,2,V10.mp4,1716,1708,1719,12,uppercut,train
data/processed/clips/hook_V10_001824_v000245,1,V10.mp4,1824,1816,1827,12,hook,train
data/processed/clips/uppercut_V10_001849_v000246,2,V10.mp4,1849,1841,1852,12,uppercut,train
data/processed/clips/uppercut_V10_001875_v000247,2,V10.mp4,1875,1867,1878,12,uppercut,train
data/processed/clips/straight_V10_001920_v000248,0,V10.mp4,1920,1912,1923,12,straight,train
data/processed/clips/hook_V10_001973_v000249,1,V10.mp4,1973,1965,1976,12,hook,train
data/processed/clips/uppercut_V10_001996_v000250,2,V10.mp4,1996,1988,1999,12,uppercut,train
data/processed/clips/uppercut_V10_002030_v000251,2,V10.mp4,2030,2022,2033,12,uppercut,train
data/processed/clips/straight_V10_002123_v000252,0,V10.mp4,2123,2115,2126,12,straight,train
data/processed/clips/hook_V10_002139_v000253,1,V10.mp4,2139,2131,2142,12,hook,train
data/processed/clips/uppercut_V10_002161_v000254,2,V10.mp4,2161,2153,2164,12,uppercut,train
data/processed/clips/straight_V10_002249_v000255,0,V10.mp4,2249,2241,2252,12,straight,train
data/processed/clips/straight_V10_002279_v000256,0,V10.mp4,2279,2271,2282,12,straight,train
data/processed/clips/hook_V10_002300_v000257,1,V10.mp4,2300,2292,2303,12,hook,train
data/processed/clips/uppercut_V10_002322_v000258,2,V10.mp4,2322,2314,2325,12,uppercut,train
data/processed/clips/uppercut_V10_002467_v000259,2,V10.mp4,2467,2459,2470,12,uppercut,train
data/processed/clips/straight_V10_002494_v000260,0,V10.mp4,2494,2486,2497,12,straight,train
data/processed/clips/straight_V10_002563_v000261,0,V10.mp4,2563,2555,2566,12,straight,train
data/processed/clips/uppercut_V10_002598_v000262,2,V10.mp4,2598,2590,2601,12,uppercut,train
data/processed/clips/hook_V10_002696_v000263,1,V10.mp4,2696,2688,2699,12,hook,train
data/processed/clips/uppercut_V10_002718_v000264,2,V10.mp4,2718,2710,2721,12,uppercut,train
data/processed/clips/uppercut_V10_002751_v000265,2,V10.mp4,2751,2743,2754,12,uppercut,train
data/processed/clips/straight_V10_002801_v000266,0,V10.mp4,2801,2793,2804,12,straight,train
data/processed/clips/straight_V10_002819_v000267,0,V10.mp4,2819,2811,2822,12,straight,train
data/processed/clips/hook_V10_002839_v000268,1,V10.mp4,2839,2831,2842,12,hook,train
data/processed/clips/uppercut_V10_002860_v000269,2,V10.mp4,2860,2852,2863,12,uppercut,train
data/processed/clips/straight_V10_002943_v000270,0,V10.mp4,2943,2935,2946,12,straight,train
data/processed/clips/uppercut_V10_002979_v000271,2,V10.mp4,2979,2971,2982,12,uppercut,train
data/processed/clips/hook_V10_003077_v000272,1,V10.mp4,3077,3069,3080,12,hook,train
data/processed/clips/uppercut_V10_003098_v000273,2,V10.mp4,3098,3090,3101,12,uppercut,train
data/processed/clips/uppercut_V10_003129_v000274,2,V10.mp4,3129,3121,3132,12,uppercut,train
data/processed/clips/uppercut_V10_003156_v000275,2,V10.mp4,3156,3148,3159,12,uppercut,train
data/processed/clips/hook_V10_003250_v000276,1,V10.mp4,3250,3242,3253,12,hook,train
data/processed/clips/uppercut_V10_003270_v000277,2,V10.mp4,3270,3262,3273,12,uppercut,train
data/processed/clips/straight_V10_003490_v000278,0,V10.mp4,3490,3482,3493,12,straight,train
data/processed/clips/uppercut_V10_003537_v000279,2,V10.mp4,3537,3529,3540,12,uppercut,train
data/processed/clips/uppercut_V10_003569_v000280,2,V10.mp4,3569,3561,3572,12,uppercut,train
data/processed/clips/uppercut_V10_003669_v000281,2,V10.mp4,3669,3661,3672,12,uppercut,train
data/processed/clips/uppercut_V10_003696_v000282,2,V10.mp4,3696,3688,3699,12,uppercut,train
data/processed/clips/straight_V10_003749_v000283,0,V10.mp4,3749,3741,3752,12,straight,train
data/processed/clips/straight_V10_003755_v000284,0,V10.mp4,3755,3747,3758,12,straight,train
data/processed/clips/hook_V10_003772_v000285,1,V10.mp4,3772,3764,3775,12,hook,train
data/processed/clips/uppercut_V10_003793_v000286,2,V10.mp4,3793,3785,3796,12,uppercut,train
data/processed/clips/uppercut_V10_003923_v000287,2,V10.mp4,3923,3915,3926,12,uppercut,train
data/processed/clips/uppercut_V10_003955_v000288,2,V10.mp4,3955,3947,3958,12,uppercut,train
data/processed/clips/straight_V10_004038_v000289,0,V10.mp4,4038,4030,4041,12,straight,train
data/processed/clips/hook_V10_004052_v000290,1,V10.mp4,4052,4044,4055,12,hook,train
data/processed/clips/uppercut_V10_004105_v000291,2,V10.mp4,4105,4097,4108,12,uppercut,train
data/processed/clips/hook_V10_004256_v000292,1,V10.mp4,4256,4248,4259,12,hook,train
data/processed/clips/uppercut_V10_004286_v000293,2,V10.mp4,4286,4278,4289,12,uppercut,train
data/processed/clips/straight_V10_004314_v000294,0,V10.mp4,4314,4306,4317,12,straight,train
data/processed/clips/straight_V10_004363_v000295,0,V10.mp4,4363,4355,4366,12,straight,train
data/processed/clips/straight_V10_004380_v000296,0,V10.mp4,4380,4372,4383,12,straight,train
data/processed/clips/hook_V10_004400_v000297,1,V10.mp4,4400,4392,4403,12,hook,train
data/processed/clips/uppercut_V10_004424_v000298,2,V10.mp4,4424,4416,4427,12,uppercut,train
data/processed/clips/uppercut_V10_004455_v000299,2,V10.mp4,4455,4447,4458,12,uppercut,train
data/processed/clips/none_V10_004482_v000300,3,V10.mp4,4482,4474,4485,12,none,train
data/processed/clips/straight_V10_004509_v000301,0,V10.mp4,4509,4501,4512,12,straight,train
data/processed/clips/straight_V10_004516_v000302,0,V10.mp4,4516,4508,4519,12,straight,train
data/processed/clips/hook_V10_004532_v000303,1,V10.mp4,4532,4524,4535,12,hook,train
data/processed/clips/uppercut_V10_004552_v000304,2,V10.mp4,4552,4544,4555,12,uppercut,train
