sample_id,video_id,source_video_path,ann_row_index,start_frame,end_frame,duration_frames,class_raw,class_clean,class_id,split,skeleton_path,skeleton_index,skeleton_row_aligned,has_video,has_skeleton,quality_flag,notes
V1_00069,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,68,3976.0,3986.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,68,True,True,True,ok,
V1_00070,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,69,3989.0,3998.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,69,True,True,True,ok,
V1_00071,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,70,3999.0,4005.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,70,True,True,True,ok,
V1_00072,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,71,4006.0,4015.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,71,True,True,True,ok,
V1_00073,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,72,4018.0,4029.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,72,True,True,True,ok,
V1_00074,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,73,4030.0,4035.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,73,True,True,True,ok,
V1_00075,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,74,4036.0,4048.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,74,True,True,True,ok,
V1_00076,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,75,4049.0,4058.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,75,True,True,True,ok,
V1_00077,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,76,4059.0,4064.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,76,True,True,True,ok,
V1_00078,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,77,4065.0,4078.0,14.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,77,True,True,True,ok,
V1_00079,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,78,4079.0,4089.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,78,True,True,True,ok,
V1_00080,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,79,4090.0,4095.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,79,True,True,True,ok,
V1_00081,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,80,4096.0,4106.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,80,True,True,True,ok,
V1_00082,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,81,4107.0,4117.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,81,True,True,True,ok,
V1_00083,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,82,4118.0,4124.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,82,True,True,True,ok,
V1_00084,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,83,4125.0,4135.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,83,True,True,True,ok,
V1_00085,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,84,4138.0,4146.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,84,True,True,True,ok,
V1_00086,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,85,4147.0,4152.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,85,True,True,True,ok,
V1_00087,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,86,4153.0,4165.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,86,True,True,True,ok,
V1_00088,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,87,4167.0,4177.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,87,True,True,True,ok,
V1_00089,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,88,4178.0,4184.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,88,True,True,True,ok,
V1_00090,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,89,4185.0,4196.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,89,True,True,True,ok,
V1_00091,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,90,4198.0,4208.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,90,True,True,True,ok,
V1_00092,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,91,4209.0,4215.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,91,True,True,True,ok,
V1_00093,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,92,4216.0,4228.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,92,True,True,True,ok,
V1_00094,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,93,4229.0,4239.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,93,True,True,True,ok,
V1_00095,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,94,4240.0,4245.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,94,True,True,True,ok,
V1_00096,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,95,4246.0,4259.0,14.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,95,True,True,True,ok,
V1_00097,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,96,4260.0,4269.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,96,True,True,True,ok,
V1_00098,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,97,4270.0,4276.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,97,True,True,True,ok,
V1_00099,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,98,4277.0,4288.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,98,True,True,True,ok,
V1_00100,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,99,4289.0,4299.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,99,True,True,True,ok,
V1_00101,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,100,4300.0,4306.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,100,True,True,True,ok,
V1_00102,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,101,4307.0,4317.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,101,True,True,True,ok,
V1_00103,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,102,4319.0,4328.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,102,True,True,True,ok,
V1_00104,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,103,4329.0,4335.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,103,True,True,True,ok,
V1_00105,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,104,4336.0,4348.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,104,True,True,True,ok,
V1_00106,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,105,4349.0,4358.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,105,True,True,True,ok,
V1_00107,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,106,4359.0,4365.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,106,True,True,True,ok,
V1_00108,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,107,4367.0,4376.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,107,True,True,True,ok,
V1_00109,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,108,4378.0,4388.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,108,True,True,True,ok,
V1_00110,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,109,4389.0,4395.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,109,True,True,True,ok,
V1_00111,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,110,4396.0,4408.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,110,True,True,True,ok,
V1_00112,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,111,4409.0,4418.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,111,True,True,True,ok,
V1_00113,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,112,4419.0,4425.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,112,True,True,True,ok,
V1_00114,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,113,4426.0,4436.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,113,True,True,True,ok,
V1_00115,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,114,4438.0,4448.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,114,True,True,True,ok,
V1_00116,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,115,4449.0,4456.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,115,True,True,True,ok,
V1_00117,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,116,4457.0,4468.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,116,True,True,True,ok,
V1_00118,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,117,4470.0,4480.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,117,True,True,True,ok,
V1_00119,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,118,4481.0,4487.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,118,True,True,True,ok,
V1_00120,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,119,4488.0,4497.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,119,True,True,True,ok,
V1_00121,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,120,4500.0,4509.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,120,True,True,True,ok,
V1_00122,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,121,4510.0,4517.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,121,True,True,True,ok,
V1_00123,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,122,4518.0,4527.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,122,True,True,True,ok,
V1_00124,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,123,4530.0,4540.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,123,True,True,True,ok,
V1_00125,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,124,4541.0,4546.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,124,True,True,True,ok,
V1_00126,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,125,4547.0,4557.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,125,True,True,True,ok,
V1_00127,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,126,4560.0,4569.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,126,True,True,True,ok,
V1_00128,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,127,4570.0,4575.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,127,True,True,True,ok,
V1_00129,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,128,4576.0,4587.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,128,True,True,True,ok,
V1_00130,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,129,4589.0,4598.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,129,True,True,True,ok,
V1_00131,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,130,4599.0,4605.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,130,True,True,True,ok,
V1_00132,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,131,4606.0,4616.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,131,True,True,True,ok,
V1_00133,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,132,4619.0,4629.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,132,True,True,True,ok,
V1_00134,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,133,4630.0,4635.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,133,True,True,True,ok,
V1_00135,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,134,4636.0,4648.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,134,True,True,True,ok,
